# English lemma observations — DERIVED DATA, see ATTRIBUTION.md
# reference: Stanford CoreNLP 4.5.10 lemma annotator (Morpha)
# generated: 2026-08-21T14:35:12.274882Z  tokens=272154  rawObservations=272154  aggregated=181750
# format: word, prevLemma, nextLemma, lemma, count ; '-' = sentence edge ; lemmas/words as CoreNLP emitted them
# word	prevLemma	nextLemma	lemma	count
====================	-	===	====================	1
===	====================	break	===	1
broken	===	-	break	1
-	break	test	-	1
tests	-	===	test	1
===	test	====================	===	1
====================	===	-	====================	1
================================	-	===	================================	1
===	================================	concept	===	2
concepts	===	-	concept	2
-	concept	gap	-	4
gap	-	-	gap	7
-	gap	analysis.md	-	7
analysis.md	-	===	analysis.md	2
===	analysis.md	================================	===	2
================================	===	#	================================	2
#	================================	`	#	2
`	#	doc	`	2
doc	`	/	doc	57
/	doc	concepts.md	/	5
concepts.md	/	`	concepts.md	2
`	concepts.md	gap	`	2
Gap	`	analysis	gap	2
Analysis	gap	—	analysis	2
—	analysis	refresh	—	2
refresh	—	2026-07-19	refresh	2
2026-07-19	refresh	-	2026-07-19	2
Re-audit	-	of	re-audit	2
of	re-audit	the	of	2
the	of	prior	the	2
prior	the	pass	prior	2
pass	prior	(	pass	2
(	pass	which	(	2
which	(	compare	which	2
compared	which	`	compare	2
`	compare	cebea1da	`	2
cebea1da	`	`	cebea1da	2
`	cebea1da	→	`	2
→	`	`	→	55
`	→	638fb71b	`	2
638fb71b	`	`	638fb71b	4
`	638fb71b	)	`	2
)	`	against	)	2
against	)	current	against	2
current	against	master	current	4
master	current	(	master	2
(	master	`	(	2
`	(	90541f94	`	2
90541f94	`	`	90541f94	2
`	90541f94	,	`	2
,	`	post	,	2
post	,	2026-07-19	post	2
2026-07-19	post	upstream	2026-07-19	2
upstream	2026-07-19	merge	upstream	4
merge	upstream	)	merge	2
)	merge	.	)	3
.	)	-	.	418
Each	-	prior	each	2
prior	each	finding	prior	2
finding	prior	be	finding	2
is	finding	re-score	be	2
re-scored	be	against	re-score	2
against	re-score	live	against	2
live	against	disk	live	2
disk	live	;	disk	2
;	disk	new	;	2
new	;	finding	new	2
findings	new	from	finding	2
from	finding	the	from	6
the	from	litebike	the	2
litebike	the	/	litebike	2
/	litebike	nuid	/	8
NUID	/	/	nuid	2
/	nuid	lcnc	/	2
LCNC	/	session	lcnc	2
session	lcnc	and	session	2
and	session	the	and	2
the	and	2026-07-19	the	2
2026-07-19	the	upstream	2026-07-19	2
merge	upstream	be	merge	2
are	merge	append	be	2
appended	be	.	append	2
.	append	-	.	3
##	-	2026-07-19	##	4
2026-07-19	##	merge	2026-07-19	2
merge	2026-07-19	summary	merge	2
summary	merge	-	summary	3
Two	-	remote	two	2
remote	two	branch	remote	2
branches	remote	merge	branch	3
merged	branch	into	merge	3
into	merge	master	into	3
master	into	after	master	2
after	master	pre-flight	after	2
pre-flight	after	verification	pre-flight	2
verification	pre-flight	(	verification	2
(	verification	no	(	2
no	(	libs	no	2
libs	no	/	libs	12
/	libs	,	/	2
,	/	no	,	2
no	,	merge	no	2
merge	no	artifact	merge	2
artifacts	merge	,	artifact	2
,	artifact	root	,	2
root	,	-	root	2
-	root	shape	-	2
shaped	-	)	shape	7
)	shape	:	)	3
:	)	-	:	24
-	-	`	-	186
`	-	origin	`	15
origin	`	/	origin	21
/	origin	jule	/	4
jules	/	-18017460688326899188-3d405ebb	jule	2
-18017460688326899188-3d405ebb	jule	`	-18017460688326899188-3d405ebb	2
`	-18017460688326899188-3d405ebb	(	`	2
(	`	1	(	5
1	(	commit	1	4
commit	1	,	commit	4
,	commit	121	,	2
121	,	line	121	2
lines	121	)	line	2
)	line	—	)	4
—	)	add	—	2
adds	—	`	add	2
`	add	ProcessReactorEndpoint	`	2
ProcessReactorEndpoint	`	`	ProcessReactorEndpoint	6
`	ProcessReactorEndpoint	(	`	4
(	`	commonMain	(	2
commonMain	(	)	commonMain	9
)	commonMain	+	)	2
+	)	JVM	+	2
JVM	+	test	JVM	2
test	JVM	.	test	2
.	test	-	.	20
NUID	-	-	nuid	2
-	nuid	authorize	-	18
authorized	-	exec	authorize	11
exec	authorize	dispatcher	exec	2
dispatcher	exec	over	dispatcher	2
over	dispatcher	`	over	2
`	over	ProcessOperations	`	2
ProcessOperations	`	`	ProcessOperations	2
`	ProcessOperations	spi	`	2
SPI	`	.	spi	4
.	spi	-	.	4
Fulfills	-	t12	fulfil	2
T12	fulfil	.	t12	2
.	t12	-	.	4
/	origin	fix	/	6
fix	/	-	fix	6
-	fix	forge	-	4
forge	-	-	forge	4
-	forge	asset	-	4
assets	-	-	asset	4
-	asset	11945900129262057005	-	2
11945900129262057005	-	`	11945900129262057005	2
`	11945900129262057005	(	`	2
,	commit	~	,	2
~	,	7.5	~	2
7.5	~	k	7.5	2
k	7.5	line	k	2
lines	k	)	line	2
—	)	move	—	2
moves	—	the	move	2
the	move	Forge	the	3
Forge	the	html	Forge	7
HTML	Forge	/	html	7
/	html	css	/	12
CSS	/	/	css	12
/	css	JS	/	12
JS	/	shell	JS	12
shell	JS	out	shell	2
out	shell	of	out	2
of	out	inline	of	2
inline	of	kotlin	inline	2
Kotlin	inline	string	kotlin	2
strings	kotlin	into	string	2
into	string	`	into	2
