# catalog of /Users/jim/work/tika4all
# 332 files scanned
# by media type:
#   application/json: 181
#   text/x-python: 72
#   text/plain: 42
#   application/octet-stream: 14
#   text/markdown: 12
#   application/x-sh: 4
#   application/pdf: 3
#   application/x-memvid: 1
#   text/csv: 1
#   application/x-sqlite3: 1
#   application/xml: 1
# by facet:
#   json: 181
#   python: 72
#   text: 41
#   unknown: 14
#   markdown: 12
#   shell: 4
#   pdf: 3
#   log: 1
#   memvid: 1
#   csv: 1
#   sqlite: 1
#   xml: 1
path	media_type	facet	confidence	projections	size_bytes
/Users/jim/work/tika4all/.aider.chat.history.md	text/markdown	markdown	0.90	4	64649
/Users/jim/work/tika4all/.aider.input.history	application/octet-stream	unknown	0.90	1	5630
/Users/jim/work/tika4all/.gitignore	application/octet-stream	unknown	0.90	1	160
/Users/jim/work/tika4all/.ignore	application/octet-stream	unknown	0.90	1	15
/Users/jim/work/tika4all/ARCHITECTURE_PROPOSAL.md	text/markdown	markdown	0.90	4	7591
/Users/jim/work/tika4all/CLAUDE.md	text/markdown	markdown	0.90	4	9782
/Users/jim/work/tika4all/DEPENDENCY_TREE.md	text/markdown	markdown	0.90	4	6164
/Users/jim/work/tika4all/INTEGRATION_SUMMARY.md	text/markdown	markdown	0.90	4	6694
/Users/jim/work/tika4all/NVIDIA_MODEL_DISCOVERY_PLAN.md	text/markdown	markdown	0.90	4	10460
/Users/jim/work/tika4all/add_job.py	text/x-python	python	0.90	3	985
/Users/jim/work/tika4all/added	application/octet-stream	unknown	0.90	1	0
/Users/jim/work/tika4all/admiralty_handbook.pdf	application/pdf	pdf	0.90	3	6561792
/Users/jim/work/tika4all/ai_dev_chatbot.py	text/x-python	python	0.90	3	4769
/Users/jim/work/tika4all/and	application/octet-stream	unknown	0.90	1	0
/Users/jim/work/tika4all/archive_direct_client.py	text/x-python	python	0.90	3	1181
/Users/jim/work/tika4all/archive_memvid_density_sampler.py	text/x-python	python	0.90	3	23951
/Users/jim/work/tika4all/archive_processing_evaluator.py	text/x-python	python	0.90	3	11435
/Users/jim/work/tika4all/archive_processor.log	text/plain	log	0.90	4	16728
/Users/jim/work/tika4all/archive_processor.py	text/x-python	python	0.90	3	5423
/Users/jim/work/tika4all/archive_sampling/density_sampling_log.json	application/json	json	0.90	2	5838529
/Users/jim/work/tika4all/archive_sampling/processing_variance_report.md	text/markdown	markdown	0.90	4	3994
/Users/jim/work/tika4all/bashrc_key_manager.py	text/x-python	python	0.90	3	11364
/Users/jim/work/tika4all/been	application/octet-stream	unknown	0.90	1	0
/Users/jim/work/tika4all/cas_processor.py	text/x-python	python	0.90	3	1246
/Users/jim/work/tika4all/chat.	application/octet-stream	unknown	0.90	1	0
/Users/jim/work/tika4all/checkpoint_iteration_1_end.json	application/json	json	0.90	2	223148
/Users/jim/work/tika4all/checkpoint_iteration_2_end.json	application/json	json	0.90	2	223167
/Users/jim/work/tika4all/checkpoint_iteration_3_end.json	application/json	json	0.90	2	223167
/Users/jim/work/tika4all/checkpoint_iteration_4_end.json	application/json	json	0.90	2	223168
/Users/jim/work/tika4all/checkpoint_iteration_5_end.json	application/json	json	0.90	2	223168
/Users/jim/work/tika4all/corpus_manager.py	text/x-python	python	0.90	3	7268
/Users/jim/work/tika4all/couchduck_adapter.py	text/x-python	python	0.90	3	10038
/Users/jim/work/tika4all/create_db.py	text/x-python	python	0.90	3	1732
/Users/jim/work/tika4all/dependency_analyzer.py	text/x-python	python	0.90	3	11717
/Users/jim/work/tika4all/devine_challenge/archive_2022-4-12-exhibit-c-silent-weapons-for-quiet-wars-exhibit-d-us-mint-exhibit-e-ucc-tender.json	application/json	json	0.90	2	12592
/Users/jim/work/tika4all/devine_challenge/archive_AttorneyGeneralsManualOnTheAdministrativeProcedureActOf1947.json	application/json	json	0.90	2	11523
/Users/jim/work/tika4all/devine_challenge/archive_CSPAN2_20211210_021900_Justices_Hear_Case_on_Medicare_Drug_Reimbursements.json	application/json	json	0.90	2	111541
/Users/jim/work/tika4all/devine_challenge/archive_CSPAN2_20240717_205900_Academics__Professors_Discuss_Chevron_Deference_Ruling.json	application/json	json	0.90	2	88483
/Users/jim/work/tika4all/devine_challenge/archive_CSPAN_20240722_162600_Former_Sen._Pat_Toomey_Discusses_Chevron_Deference_Ruling.json	application/json	json	0.90	2	67045
/Users/jim/work/tika4all/devine_challenge/archive_CSPAN_20240806_013400_Academics__Professors_Discuss_Chevron_Deference_Ruling.json	application/json	json	0.90	2	92053
/Users/jim/work/tika4all/devine_challenge/archive_Fjc-FederalJudicialCenter-Fjc2010_prosecutorial_misconduct.json	application/json	json	0.90	2	10455
/Users/jim/work/tika4all/devine_challenge/archive_Houserept-1980-1946AdministrativeProcedureAct-HouseReport1980.json	application/json	json	0.90	2	10238
/Users/jim/work/tika4all/devine_challenge/archive_MysterySerpent_201501.json	application/json	json	0.90	2	87528
/Users/jim/work/tika4all/devine_challenge/archive_Senaterept-752-1945-Nov19-HearingOnAdministrativeProcedureAct.json	application/json	json	0.90	2	11932
/Users/jim/work/tika4all/devine_challenge/archive_TheInternationalJewAbridgedEdition.json	application/json	json	0.90	2	13894
/Users/jim/work/tika4all/devine_challenge/archive_WithdrawOfConsentBookletCLEAN.json	application/json	json	0.90	2	68479
/Users/jim/work/tika4all/devine_challenge/archive_a-treatise-of-the-game-laws-and-on-fisheries-vol-1-1812.json	application/json	json	0.90	2	12617
/Users/jim/work/tika4all/devine_challenge/archive_afterTheTribulation-ThePre-tribulationRaptureFraudExposed.json	application/json	json	0.90	2	87357
/Users/jim/work/tika4all/devine_challenge/archive_atreatiseonlawm00chitgoog.json	application/json	json	0.90	2	8061
/Users/jim/work/tika4all/devine_challenge/archive_atreatiseonlaws02parsgoog.json	application/json	json	0.90	2	178797
